x;y;z;time
9,67; 0,99; -3,39; 2716613320
9,48; 0,94; -3,35; 2716613339
9,23; 0,85; -3,32; 2716613358
8,97; 0,71; -3,31; 2716613377
9,01; 0,67; -3,05; 2716613396
9,16; 0,79; -3,02; 2716613417
9,31; 0,98; -3,13; 2716613436
9,45; 1,04; -3,10; 2716613455
9,51; 1,02; -3,09; 2716613478
9,51; 1,01; -3,10; 2716613495
9,51; 0,97; -3,27; 2716613513
9,46; 0,92; -3,44; 2716613533
9,29; 0,86; -3,39; 2716613552
9,12; 0,76; -3,25; 2716613572
9,01; 0,71; -3,14; 2716613590
9,03; 0,71; -3,11; 2716613610
9,12; 0,78; -3,08; 2716613630
9,22; 0,85; -3,00; 2716613648
9,37; 0,95; -3,00; 2716613669
9,52; 1,03; -3,10; 2716613687
9,55; 0,99; -3,19; 2716613708
9,42; 0,87; -3,25; 2716613729
9,33; 0,72; -3,27; 2716613745
9,30; 0,65; -3,33; 2716613766
9,26; 0,64; -3,34; 2716613785
9,20; 0,69; -3,26; 2716613805
9,20; 0,74; -3,21; 2716613824
9,30; 0,76; -3,24; 2716613843
9,30; 0,78; -3,22; 2716613863
9,28; 0,81; -3,23; 2716613881
9,25; 0,86; -3,25; 2716613902
9,20; 0,88; -3,26; 2716613921
9,19; 0,89; -3,26; 2716613940
9,19; 0,87; -3,23; 2716613963
9,19; 0,84; -3,26; 2716613979
9,19; 0,78; -3,34; 2716613996
9,20; 0,72; -3,54; 2716614016
9,20; 0,64; -3,67; 2716614036
9,33; 0,63; -3,71; 2716614055
9,42; 0,69; -3,68; 2716614074
9,37; 0,80; -3,62; 2716614093
9,27; 0,89; -3,53; 2716614113
9,23; 0,94; -3,41; 2716614133
9,18; 0,98; -3,35; 2716614152
9,11; 1,02; -3,40; 2716614171
9,04; 1,03; -3,45; 2716614192
8,99; 1,00; -3,51; 2716614212
9,00; 0,90; -3,63; 2716614230
9,03; 0,75; -3,76; 2716614251
8,99; 0,64; -3,72; 2716614270
8,96; 0,69; -3,59; 2716614289
9,05; 0,88; -3,47; 2716614308
9,19; 1,09; -3,37; 2716614327
9,26; 1,30; -3,45; 2716614349
9,14; 1,34; -3,62; 2716614366
8,88; 1,38; -3,87; 2716614387
8,58; 1,48; -4,17; 2716614406
8,44; 1,60; -4,82; 2716614423
8,56; 1,74; -5,64; 2716614445
8,68; 1,69; -6,35; 2716614464
8,40; 1,85; -6,58; 2716614482
7,72; 2,57; -6,06; 2716614501
6,79; 3,62; -4,60; 2716614521
6,21; 4,35; -2,71; 2716614540
5,96; 4,29; -1,02; 2716614560
7,19; 3,30; -1,12; 2716614579
8,71; 1,77; -2,65; 2716614598
9,82; 0,04; -3,24; 2716614618
10,46; -1,52; -3,04; 2716614637
10,48; -1,68; -3,38; 2716614656
10,57; -0,89; -3,85; 2716614677
10,74; 0,58; -4,26; 2716614695
11,04; 2,05; -4,64; 2716614715
10,71; 3,07; -4,86; 2716614736
9,73; 3,99; -4,86; 2716614754
8,82; 4,96; -4,80; 2716614775
8,13; 5,33; -3,53; 2716614792
7,62; 4,26; -0,84; 2716614814
8,17; 2,63; 1,12; 2716614834
8,99; 1,83; 0,99; 2716614850
8,58; 1,13; -0,84; 2716614872
9,91; -0,51; -2,01; 2716614891
11,24; -0,85; 1,65; 2716614909
13,10; 4,56; 2,35; 2716614930
12,51; 8,17; 2,46; 2716614949
11,29; 6,04; 2,50; 2716614966
12,21; 2,53; 3,06; 2716614988
14,13; 0,83; 1,82; 2716615008
13,25; 1,14; 1,63; 2716615024
11,35; 0,77; 2,84; 2716615046
11,12; 0,03; 3,13; 2716615065
11,81; -0,62; 3,60; 2716615084
